1,84,465,0.705,25,17,1.9
1,85,465,0.719,25,16,1.96
1,86,465,0.647,26,17,1.96
1,87,465,0.45,27,16,2.16
2,84,552,0.705,49,18,2
2,85,552,0.719,50,21,2.16
2,86,552,0.647,60,22,2.16
2,87,552,0.45,60,22,2.56
3,84,480,0.298,5,17,1.33
3,85,480,0.304,7,20,1.54
3,86,480,0.296,17,21,1.54
3,87,480,0.375,17,22,2.16
4,84,480,0.407,43,13,2.16
4,85,480,0.415,47,17,2.16
4,86,480,0.379,50,18,2.56
4,87,480,0.382,50,20,2.95
5,84,804,0.428,0,20,1.3
5,85,804,0.437,0,20,1.33
5,86,804,0.47,0,22,1.54
5,87,804,0.367,0,25,2.56
6,84,1096,0.428,1,23,1.9
6,85,1096,0.437,0,27,1.96
6,86,1096,0.47,0,27,2.5
6,87,1096,0.367,0,27,2.7
7,84,926,0.42,0,18,1.3
7,85,926,0.428,2,21,1.33
7,86,926,0.47,2,24,1.54
8,84,1215,0.42,17,24,1.7
8,85,1215,0.428,35,31,1.75
8,86,1215,0.47,36,30,1.96
9,84,1305,0.459,1,22,1.7
9,85,1305,0.468,1,25,1.75
9,86,1305,0.409,1,27,1.75
9,87,1305,0.419,1,27,2.56
9,90,1305,0.619,16,26,2.76
9,92,1305,0.507,16,28,2.7
10,84,1367,0.459,30,24,1.9
10,85,1367,0.468,31,27,1.96
10,86,1367,0.409,31,30,1.75
10,87,1367,0.419,32,31,2.56
10,90,1367,0.619,35,33,3.13
10,92,1367,0.507,33,33,4.3
11,84,1120,0.538,1,14,1.7
11,85,1120,0.548,0,17,1.75
11,86,1120,0.59,0,18,1.75
11,87,1120,0.625,0,10,1.9
11,90,1120,0.638,0,19,1.9
11,92,1120,0.429,1,18,2.3
12,83,1165,0.315,0,20,1.33
12,84,1165,0.322,0,22,1.54
12,85,1165,0.3,0,24,1.54
12,86,1165,0.305,0,21,1.33
13,83,421,0.352,0,20,1.33
13,84,421,0.359,0,26,1.54
13,85,421,0.33,0,27,1.54
13,86,421,0.342,0,32,1.33
14,83,617,0.352,0,27,1.54
14,84,617,0.359,0,27,1.96
14,85,617,0.33,0,32,1.96
14,86,617,0.342,0,32,1.54
15,85,708,0.58,0,16,1.12
15,86,708,0.57,0,17,1.12
15,87,708,0.53,0,20,1.96
15,90,708,0.49,0,24,2.16
16,85,568,0.64,0,18,1.9
16,86,568,0.63,0,18,1.9
16,87,568,0.58,0,20,1.9
16,90,568,0.54,0,21,1.9
17,83,216,0.687,2,10,1.9
17,84,216,0.701,0,12,1.96
17,85,216,0.668,16,16,1.96
17,86,216,0.79,16,14,1.96
17,87,216,0.74,23,15,1.96
17,90,216,1.344,29,19,2.56
17,91,216,1.41,31,22,2.76
18,83,258,0.687,10,15,2.56
18,84,258,0.701,19,16,2.56
18,85,258,0.668,23,17,2.56
18,86,258,0.79,29,16,2.56
18,87,258,0.74,31,18,2.56
18,90,258,1.344,35,25,2.76
18,91,258,1.41,33,25,2.95
19,83,229,0.578,0,10,1.96
19,84,229,0.59,4,10,1.96
19,85,229,0.565,9,14,1.75
19,86,229,0.72,15,9,1.33
19,87,229,0.68,13,11,1.33
19,90,229,1.467,19,20,2.36
19,91,229,1.41,20,19,2.56
19,92,229,1.58,23,19,2.16
20,83,244,0.578,3,12,2.16
20,84,244,0.59,7,14,2.16
20,85,244,0.565,23,24,1.96
20,86,244,0.72,32,17,1.54
20,87,244,0.68,31,16,1.54
20,90,244,1.467,27,23,2.56
20,91,244,1.41,31,22,2.76
20,92,244,1.58,32,23,2.16
21,83,238,0.578,3,2,2.56
21,84,238,0.59,20,7,2.36
21,85,238,0.565,23,14,2.16
21,86,238,0.72,16,7,1.96
